car,price,body,mileage,engV,engType,registration,year,model,drive
Skoda,16700,sedan,98,1.8,Gas,yes,2011,Superb,front
Chevrolet,19000,crossover,124,2.4,Gas,yes,2012,Captiva,full
Volkswagen,17400,sedan,73,1.8,Petrol,yes,2012,Passat B7,front
Honda,18000,sedan,116,2,Gas,yes,2011,Accord,front
Kia,7600,sedan,136,2,Petrol,yes,2009,Cerato,front
Volkswagen,9999,van,165,1.6,Diesel,yes,2012,Caddy „ÛÁ.,
Mercedes-Benz,10600,van,250,2.2,Diesel,yes,2006,Sprinter 313 „ÛÁ.,rear
Volkswagen,9600,van,255,1.9,Diesel,yes,2004,T5 (Transporter) Ô‡ÒÒ.,front
Volkswagen,5900,van,278,1.9,Diesel,yes,2005,Caddy Ô‡ÒÒ.,front
Skoda,7200,sedan,242,1.6,Petrol,yes,2007,Octavia Tour,front
Nissan,18999,hatch,8,NA,Other,yes,2013,Leaf,front
Mercedes-Benz,12500,sedan,208,3.2,Diesel,yes,2004,S 320,rear
Hyundai,5500,hatch,135,1.6,Petrol,yes,2005,Getz,front
Kia,8800,vagon,155,1.6,Gas,yes,2007,Ceed,front
Opel,4999,van,202,1.6,Gas,yes,2007,Combo „ÛÁ.,front
Mercedes-Benz,0,sedan,300,2.6,Petrol,yes,2002,E-Class,rear
BMW,3099,sedan,320,2,Diesel,no,2000,320,rear
Hyundai,6750,crossover,178,2,Diesel,no,2006,Tucson,full
Volkswagen,16999,sedan,105,1.8,Petrol,yes,2011,Passat B7,front
BMW,8899,sedan,170,2.2,Petrol,yes,2001,520,rear
Mercedes-Benz,12800,other,260,2.7,Diesel,yes,2005,Sprinter 316 Ô‡ÒÒ.,rear
Mercedes-Benz,29900,other,71,5.5,Petrol,yes,2007,CL 500,rear
Nissan,13600,crossover,138,2,Petrol,yes,2008,X-Trail,full
Mitsubishi,11700,sedan,82,1.5,Gas,yes,2010,Lancer X,
Mercedes-Benz,15000,crossover,185,3.7,Gas,yes,2005,ML 350,full
Mercedes-Benz,21200,vagon,206,2.1,Diesel,yes,2011,C-Class,rear
Infiniti,50695.515,crossover,1,3.7,Petrol,yes,2015,QX70,full
Infiniti,35162.3025,sedan,1,2,Petrol,yes,2014,Q50,rear
Infiniti,46022.028,crossover,1,2.5,Petrol,yes,2015,QX50,full
Toyota,35500,crossover,85,3,Diesel,yes,2012,Land Cruiser Prado,full
Opel,1850,hatch,255,2,Petrol,no,2002,Vectra B,front
Land Rover,45000,crossover,80,5,Petrol,yes,2010,Range Rover,full
Renault,11500,vagon,170,1.5,Diesel,yes,2012,Megane,front
Audi,51500,crossover,27,3,Diesel,yes,2013,Q7,full
Mitsubishi,11900,crossover,129,2.5,Diesel,yes,2007,Pajero Sport,full
Subaru,8700,sedan,150,2,Petrol,yes,2006,Legacy,full
Nissan,21900,crossover,30,1.2,Petrol,yes,2015,Qashqai,front
Skoda,12800,sedan,135,1.8,Petrol,yes,2011,Superb,front
Renault,8700,hatch,100,1.5,Diesel,yes,2010,Megane,
Skoda,20700,hatch,71,1.8,Petrol,yes,2014,Superb,front
Volkswagen,20500,hatch,56,2,Diesel,yes,2014,Golf VII,front
Renault,6500,van,186,1.5,Diesel,yes,2012,Kangoo „ÛÁ.,front
Nissan,15800,crossover,56,2,Petrol,yes,2012,Qashqai,full
Volkswagen,6000,van,180,2,Diesel,yes,2008,Caddy „ÛÁ.,front
Volkswagen,10000,van,71,1.2,Petrol,yes,2013,Caddy „ÛÁ.,front
Nissan,6999,sedan,85,1.6,Petrol,yes,2009,Almera,front
Renault,11999,hatch,65,1.5,Diesel,yes,2014,Megane,front
Volkswagen,13999,crossover,150,2.5,Diesel,yes,2005,Touareg,full
Mitsubishi,14500,crossover,90,3,Petrol,yes,2008,Pajero Wagon,full
Lexus,16700,sedan,125,3.5,Other,yes,2007,ES 350,front
Volkswagen,11200,crossover,1,4.2,Petrol,yes,2004,Touareg,full
Volkswagen,9000,sedan,51,1.6,Petrol,yes,2013,Polo,front
Mitsubishi,15999,crossover,149,3,Gas,yes,2008,Pajero Wagon,full
Volkswagen,15500,crossover,167,3.2,Petrol,yes,2006,Touareg,full
Toyota,9150,hatch,87,1.6,Petrol,yes,2008,Auris,front
Porsche,29900,other,31,3.4,Petrol,yes,2007,Cayman,rear
Porsche,115000,other,7,3.8,Petrol,yes,2013,911,full
Toyota,21500,crossover,89,2,Petrol,yes,2012,Rav 4,full
Mitsubishi,12000,crossover,130,3,Gas,yes,2007,Pajero Sport,full
Lexus,20300,crossover,128,3.5,Gas,yes,2007,RX 350,full
Skoda,20500,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front
Toyota,12900,sedan,137,2.4,Petrol,yes,2008,Camry,front
Audi,33500,sedan,42,2,Petrol,yes,2013,A5,full
Skoda,23000,sedan,0,1.8,Petrol,yes,2016,Octavia A7,front
Skoda,22000,sedan,0,1.4,Petrol,yes,2016,Octavia A7,front
Renault,0,other,179,2.5,Diesel,yes,2011,Trafic „ÛÁ.,front
Hyundai,8000,sedan,98,1.4,Petrol,yes,2011,Accent,front
Chevrolet,10200,sedan,118,1.8,Petrol,yes,2011,Cruze,front
Audi,36500,crossover,115,3,Diesel,yes,2010,Q7,full
BMW,34400,crossover,37,2,Diesel,yes,2013,X1,full
Renault,5600,vagon,151,1.5,Diesel,yes,2006,Kangoo Ô‡ÒÒ.,front
Lexus,21000,crossover,180,3.5,Gas,yes,2006,RX 350,full
Skoda,13750,vagon,155,1.6,Diesel,yes,2012,Octavia A5,
Audi,35500,crossover,130,3,Diesel,yes,2010,Q7,full
Opel,4500,van,315,1.7,Diesel,yes,2003,Combo Ô‡ÒÒ.,front
Skoda,7550,sedan,114,1.6,Petrol,yes,2007,Octavia A5,front
BMW,34500,other,160,3,Diesel,yes,2011,X5,full
BMW,14600,sedan,116,2.5,Diesel,yes,2004,525,rear
Ford,7300,hatch,131,1.4,Petrol,yes,2010,Focus,front
Mitsubishi,8350,sedan,98,1.5,Petrol,yes,2010,Lancer X,front
Volkswagen,18900,sedan,75,1.8,Petrol,yes,2011,Passat B7,front
Audi,9800,vagon,257,2.5,Diesel,yes,2003,A6,front
Audi,9600,vagon,230,2.5,Diesel,yes,2004,A6,front
Mercedes-Benz,15900,sedan,216,5,Petrol,yes,2007,E-Class,rear
Honda,5700,sedan,200,1.7,Gas,yes,2002,Civic,full
Volkswagen,9400,vagon,176,1.9,Diesel,yes,2005,Passat B5,
Mercedes-Benz,0,sedan,322,2.7,Diesel,no,2000,E-Class,rear
Renault,5800,vagon,200,1.46,Diesel,yes,2008,Grand Scenic,
Subaru,19900,crossover,140,2.5,Petrol,yes,2011,Outback,full
Volkswagen,10999,van,95,1.6,Diesel,yes,2012,Caddy „ÛÁ.,front
Volkswagen,15200,van,132,2.5,Diesel,yes,2009,T5 (Transporter) Ô‡ÒÒ.,front
Opel,5500,van,287,1.7,Diesel,yes,2003,Combo Ô‡ÒÒ.,front
Renault,7500,van,43,1.5,Diesel,yes,2013,Kangoo „ÛÁ.,front
Renault,10950,vagon,180,1.5,Diesel,yes,2011,Megane,front
Volkswagen,8900,van,264,2.5,Diesel,yes,2003,T4 (Transporter) Ô‡ÒÒ.,front
Renault,11990,van,210,1.1,Diesel,yes,2010,Scenic,front
Volkswagen,6550,sedan,150,1.6,Petrol,yes,2001,Bora,front
Volkswagen,15900,sedan,103,NA,Petrol,yes,2012,Jetta,front
Toyota,18999,crossover,153,2.7,Gas,yes,2006,Land Cruiser Prado,full
Chevrolet,5800,sedan,145,1.5,Gas,yes,2008,Aveo,front
Toyota,14100,sedan,113,2.4,Gas,yes,2009,Camry,front
Audi,19300,sedan,113,1.8,Petrol,yes,2009,A4,front
Toyota,68000,crossover,67,4.5,Diesel,yes,2012,Land Cruiser 200,full
BMW,4300,sedan,200,2,Diesel,no,2002,320,rear
BMW,29000,sedan,170,2,Diesel,yes,2011,520,rear
BMW,2900,vagon,230,2,Diesel,no,2001,320,rear
Audi,9900,vagon,284,2.5,Diesel,yes,2004,A6,full
BMW,10800,sedan,246,3,Diesel,yes,2003,530,rear
BMW,10900,sedan,245,3,Diesel,yes,2003,530,rear
Volkswagen,25900,hatch,35,2,Diesel,yes,2015,Golf VII,front
Toyota,8800,sedan,300,2.4,Petrol,yes,2004,Camry,front
Hyundai,13900,sedan,75,1.6,Petrol,yes,2012,Elantra,front
Toyota,13000,hatch,42,1.3,Petrol,yes,2013,Auris,
Porsche,99999,crossover,1,3,Diesel,yes,2016,Cayenne,full
Audi,49700,crossover,80,3,Diesel,yes,2013,Q7,full
Ford,11950,sedan,53,1.6,Gas,yes,2013,Focus,front
BMW,49000,sedan,58,4.4,Other,yes,2011,750,rear
Ford,23071.035,sedan,1,1.5,Petrol,yes,2015,Mondeo,front
Volkswagen,7950,van,144,2,Gas,yes,2012,Caddy „ÛÁ.,front
Ford,6700,vagon,143,1.6,Gas,yes,2007,Focus,front
Volkswagen,20477.535,van,1,1.6,Diesel,yes,2015,Caddy Ô‡ÒÒ.,front
Volkswagen,7500,van,280,1.6,Diesel,yes,2011,Caddy „ÛÁ.,front
Toyota,28900,crossover,83,3.5,Gas,yes,2012,Highlander,full
Volkswagen,9900,van,230,1.9,Diesel,yes,2008,T5 (Transporter) „ÛÁ,front
Volkswagen,6200,sedan,161,4.2,Gas,no,2004,Phaeton,full
Volkswagen,7900,other,123,1.4,Petrol,yes,2008,Polo,front
Lexus,15000,crossover,250,3,Gas,yes,2003,RX 300,full
Nissan,27000,van,14,1.6,Diesel,yes,2015,Qashqai,full
Mercedes-Benz,18300,sedan,155,3,Petrol,yes,2007,C-Class,rear
Infiniti,40700,crossover,34,3.7,Petrol,yes,2013,QX70,full
Skoda,10300,sedan,185,1.8,Gas,yes,2007,Superb,front
Volkswagen,8900,sedan,185,1.6,Petrol,yes,2007,Jetta,front
Hyundai,0,crossover,39,2.2,Diesel,yes,2012,Santa FE,full
Skoda,7100,sedan,157,1.6,Petrol,yes,2006,Octavia Tour,front
Volkswagen,15880,vagon,139,1.4,Gas,yes,2011,Passat B7,front
Volkswagen,19300,sedan,136,2,Diesel,yes,2011,Passat B7,front
BMW,46000,sedan,5,2,Petrol,yes,2016,520,rear
BMW,37000,sedan,95,4.4,Petrol,yes,2011,750,full
Porsche,19100,crossover,211,4.5,Petrol,yes,2006,Cayenne,full
Renault,6300,van,180,1.5,Diesel,yes,2012,Kangoo „ÛÁ.,front
Volkswagen,9000,other,212,2,Gas,yes,2007,Caddy Ô‡ÒÒ.,front
VAZ,4300,hatch,137,1.4,Gas,yes,2010,1119,front
Toyota,13300,sedan,152,2,Petrol,yes,2009,Avensis,front
Mercedes-Benz,11900,van,277,2.2,Diesel,yes,2007,Vito Ô‡ÒÒ.,rear
Volkswagen,12800,van,230,2,Diesel,yes,2011,T5 (Transporter) „ÛÁ,front
Volkswagen,8400,sedan,230,1.8,Gas,yes,2003,Passat B5,front
Volkswagen,7500,sedan,240,1.8,Petrol,yes,2002,Passat B5,front
Chevrolet,7800,sedan,163,2,Gas,yes,2008,Epica,front
Mercedes-Benz,10999,other,185,NA,Diesel,yes,2005,Vito Ô‡ÒÒ.,rear
BMW,47000,other,5,2,Petrol,yes,2014,Z4,rear
Skoda,7850,hatch,44,1.2,Petrol,yes,2012,Fabia,front
Skoda,7600,vagon,119,1.4,Other,yes,2008,Fabia,
Renault,14200,crossover,83,2,Diesel,yes,2012,Koleos,full
Hyundai,14300,crossover,127,2.7,Gas,yes,2008,Santa FE,full
Audi,7000,vagon,210,3,Diesel,no,2006,A6,full
Skoda,5400,vagon,220,1.2,Petrol,yes,2004,Fabia,front
Nissan,7400,sedan,142,1.6,Gas,yes,2010,Almera,front
Audi,18300,vagon,190,2,Diesel,yes,2011,A6,front
Skoda,15200,sedan,98,1.8,Petrol,yes,2011,Superb,front
Opel,4700,van,260,1.3,Diesel,yes,2010,Combo „ÛÁ.,front
Hyundai,11900,crossover,133,2.2,Diesel,yes,2008,Tucson,full
Volkswagen,10999,van,110,1.6,Diesel,yes,2012,Caddy „ÛÁ.,front
Jaguar,48720.75,sedan,0,2,Petrol,yes,2015,XF,rear
Volkswagen,12500,vagon,96,NA,Petrol,yes,2010,Golf VI,front
Infiniti,50695.515,crossover,0,3.7,Petrol,yes,2015,QX70,full
Subaru,38800,crossover,0,NA,Diesel,yes,2016,Forester,full
Renault,10000,other,214,2.5,Diesel,yes,2008,Master Ô‡ÒÒ.,front
Infiniti,57756.8745,crossover,1,3,Diesel,yes,2016,QX70,full
Audi,27500,sedan,150,2,Petrol,yes,2013,A6,full
Infiniti,93147.405,crossover,1,5.6,Petrol,yes,2016,QX80,full
Volkswagen,8500,sedan,87,1.6,Petrol,yes,2011,Polo,front
Mercedes-Benz,12000,van,230,2.2,Diesel,yes,2008,Vito Ô‡ÒÒ.,rear
Mercedes-Benz,39900,hatch,2,NA,Other,yes,2015,B-Class Electric Drive,front
Porsche,52000,crossover,88,3.6,Petrol,yes,2012,Cayenne,full
Volkswagen,74500,crossover,0,3,Diesel,yes,2015,Touareg,full
Nissan,6300,sedan,216,2,Gas,yes,2004,Primera,front
Ford,9200,hatch,87,1.6,Petrol,yes,2010,Focus,front
Tesla,178500,crossover,0,NA,Other,yes,2016,Model X,full
BYD,13999,crossover,14,2.4,Gas,yes,2013,S6,front
Porsche,25000,crossover,130,3,Diesel,no,2012,Cayenne,full
Land Rover,119000,crossover,38,4.4,Diesel,yes,2013,Range Rover,full
Volkswagen,3300,sedan,250,1.9,Diesel,no,2000,Passat B5,front
Land Rover,24777,crossover,198,4.2,Gas,yes,2008,Range Rover,full
Honda,7899,sedan,170,2,Gas,yes,2005,Accord,front
Audi,2700,sedan,234,2.5,Other,no,2000,A6,front
Mazda,8600,sedan,134,1.6,Petrol,yes,2008,3,front
Nissan,14999,crossover,70,2,Petrol,yes,2010,Qashqai,front
Mazda,12150,sedan,105,2,Petrol,yes,2009,6,front
Kia,12599,hatch,91,1.6,Petrol,yes,2012,Ceed,front
Hyundai,5950,hatch,98,1.6,Petrol,yes,2008,Getz,front
Hyundai,11999,hatch,42,1.6,Petrol,yes,2013,i30,
Lexus,14700,sedan,128,3,Petrol,yes,2006,GS 300,full
Lexus,17200,crossover,212,4.7,Petrol,yes,2004,LX 470,full
BMW,31800,sedan,115,3,Diesel,yes,2010,5 Series GT,rear
VAZ,4750,vagon,69,1.4,Gas,yes,2012,1117,front
Mitsubishi,19800,crossover,67,2,Gas,yes,2013,Outlander,
Hyundai,14800,sedan,52,NA,Petrol,yes,2012,Elantra,front
Porsche,18300,crossover,110,4.5,Gas,yes,2006,Cayenne,full
Toyota,12700,sedan,130,2.4,Petrol,yes,2008,Camry,front
Renault,13900,crossover,111,2.5,Gas,yes,2010,Koleos,full
Audi,26000,sedan,105,2,Petrol,yes,2012,A6,front
Ford,7500,other,157,1.8,Diesel,yes,2008,Transit Connect Ô‡ÒÒ.,front
Audi,9500,other,0,NA,Other,yes,2003,A6,
Hyundai,11200,sedan,57,1.4,Gas,yes,2011,Accent,
Skoda,16300,sedan,103,1.8,Petrol,yes,2012,Superb,front
Toyota,32000,sedan,22,2.5,Petrol,yes,2015,Camry,front
Volkswagen,29800,hatch,0,2,Diesel,yes,2015,Golf VII,front
Volkswagen,27000,other,90,2,Diesel,yes,2014,Tiguan,full
Porsche,22900,crossover,117,4.8,Petrol,yes,2007,Cayenne,full
Audi,9800,vagon,253,1.9,Diesel,yes,2002,A6,front
Toyota,13400,sedan,125,2.4,Petrol,yes,2008,Camry,front
Volkswagen,20200,hatch,22,1.2,Petrol,yes,2014,Golf VII,front
Bentley,259000,sedan,0,6,Petrol,yes,2014,Flying Spur,full
Audi,44800,crossover,95,3,Diesel,yes,2014,Q7,full
BMW,17100,crossover,188,3,Diesel,yes,2004,X5,full
Volkswagen,6500,van,290,1.9,Diesel,yes,2004,T5 (Transporter) „ÛÁ,front
Ford,5900,sedan,200,2.5,Petrol,yes,2001,Mondeo,front
Volkswagen,12500,sedan,118,1.6,Diesel,yes,2011,Golf VI,front
Renault,7400,van,181,2,Diesel,yes,2007,Trafic „ÛÁ.,front
Nissan,14500,crossover,149,NA,Other,yes,2010,Qashqai,
Volkswagen,12500,van,207,1.9,Diesel,yes,2007,Sharan,front
Volkswagen,9999,van,310,2.5,Diesel,yes,2007,T5 (Transporter) Ô‡ÒÒ.,front
Volkswagen,21900,van,166,2,Diesel,yes,2011,T6 (Transporter) Ô‡ÒÒ.,front
Volkswagen,22000,sedan,65,2,Petrol,yes,2012,Passat B7,front
Audi,22800,sedan,184,2.7,Diesel,yes,2010,A6,front
Toyota,12500,sedan,140,3.5,Gas,yes,2007,Camry,front
BMW,15000,sedan,137,2.2,Petrol,yes,2004,520,rear
Mercedes-Benz,3200,sedan,229,2.7,Diesel,no,2001,E-Class,rear
Volkswagen,20800,other,160,2,Diesel,yes,2012,Amarok,full
Renault,9000,hatch,56,1.6,Petrol,yes,2011,Megane,front
Nissan,16300,crossover,43,2,Petrol,yes,2013,Qashqai,front
Honda,14500,sedan,123,2,Petrol,yes,2009,Accord,front
Toyota,21999,sedan,80,2.5,Other,yes,2012,Camry,front
Skoda,12999,sedan,69,1.8,Petrol,yes,2010,Octavia A5,front
Audi,3500,sedan,200,2.5,Diesel,no,2001,A8,front
Audi,6400,sedan,261,1.8,Gas,yes,2000,A6,front
Volkswagen,15900,sedan,150,2,Diesel,yes,2012,Passat B7,
Audi,4999,sedan,231,1.9,Diesel,no,2002,A6,front
Renault,11200,vagon,165,1.5,Diesel,yes,2012,Megane,front
Renault,11100,vagon,155,1.5,Diesel,yes,2012,Megane,front
Chevrolet,5750,sedan,99,1.5,Petrol,yes,2009,Aveo,front
Volkswagen,15500,sedan,178,2,Diesel,no,2013,Passat B7,front
Toyota,27800,sedan,157,3.5,Petrol,yes,2011,Camry,front
Volkswagen,10000,sedan,56,1.8,Petrol,no,2015,Passat B7,front
Nissan,10999,crossover,157,1.5,Diesel,yes,2008,Qashqai,front
Hyundai,12800,sedan,106,2,Petrol,yes,2012,Sonata,front
Skoda,8400,sedan,122,1.8,Petrol,yes,2008,Octavia,front
Renault,7200,van,73,1.5,Diesel,yes,2012,Kangoo „ÛÁ.,front
Mitsubishi,11300,crossover,128,2.4,Gas,yes,2008,Outlander,full
Skoda,14900,hatch,710,1.8,Petrol,yes,2012,Octavia A5,front
Fiat,5300,van,240,2.8,Diesel,yes,2006,Ducato „ÛÁ.,front
Ford,7499,van,209,1.8,Diesel,yes,2009,Transit Connect Ô‡ÒÒ.,front
Skoda,15500,sedan,98,1.8,Petrol,yes,2010,Superb,front
VAZ,2999,vagon,135,1.6,Petrol,yes,2006,2111,front
Volkswagen,0,vagon,161,1.4,Petrol,yes,2011,Passat B7,front
Mazda,13200,sedan,122,2,Gas,yes,2009,6,front
Volkswagen,8000,van,350,1.9,Diesel,yes,2004,T5 (Transporter) Ô‡ÒÒ.,front
Bentley,85000,other,32,6,Petrol,yes,2009,Continental,full
BMW,41000,crossover,80,3,Petrol,yes,2012,X6,full
BMW,69999,crossover,0,2.5,Diesel,yes,2016,X5,full
Nissan,16699,hatch,24,NA,Other,yes,2013,Leaf,front
Skoda,5100,hatch,161,1.2,Petrol,yes,2006,Fabia,front
Mercedes-Benz,74999,crossover,1,2.2,Diesel,yes,2016,GLE-Class,full
VAZ,3600,hatch,137,1.6,Petrol,yes,2005,2112,front
Audi,3900,vagon,232,2.5,Diesel,no,2003,A6,full
BMW,66666,crossover,0,2,Diesel,yes,2016,X5,full
Infiniti,19500,other,98,3.7,Petrol,yes,2008,G37,rear
VAZ,1800,sedan,125,1.5,Petrol,yes,2000,2107,rear
Renault,7600,van,108,1,Diesel,yes,2013,Kangoo „ÛÁ.,front
Nissan,8200,hatch,144,1.6,Petrol,yes,2008,TIIDA,front
Audi,23500,crossover,116,4.2,Petrol,yes,2008,Q7,full
Audi,51000,crossover,44,3,Diesel,yes,2014,Q7,full
Kia,7499,sedan,193,2,Petrol,yes,2007,Magentis,front
Hyundai,16000,crossover,55,2,Gas,yes,2012,Tucson,full
Chevrolet,13300,hatch,77,1.8,Other,yes,2012,Cruze,front
Volkswagen,2900,sedan,238,2,Gas,no,2002,Passat B5,front
Opel,6999,van,344,1.7,Diesel,yes,2008,Combo Ô‡ÒÒ.,front
VAZ,3850,sedan,80,1.6,Petrol,yes,2008,2170,front
Hyundai,10500,crossover,106,NA,Petrol,yes,2008,Tucson,full
Volkswagen,22500,van,62,2,Diesel,yes,2011,Caravelle,front
Skoda,8200,hatch,72,1.4,Petrol,yes,2010,Fabia,front
Ford,9300,hatch,182,1.6,Gas,yes,2011,Focus,
BMW,12950,sedan,268,4,Diesel,yes,2004,740,rear
BMW,56500,crossover,45,3,Diesel,yes,2014,X6,full
Audi,9000,sedan,158,2,Gas,yes,2003,A4,front
Volkswagen,17000,crossover,158,2.5,Diesel,yes,2007,Touareg,full
Volkswagen,3700,sedan,195,1.9,Diesel,no,2001,Passat B5,front
Mercedes-Benz,23200,sedan,58,1.8,Petrol,yes,2010,C-Class,rear
BMW,52000,crossover,7,2,Diesel,yes,2015,X1,full
Skoda,12200,vagon,150,1.8,Petrol,yes,2012,Octavia A5,front
Volkswagen,2499,sedan,220,1.9,Diesel,no,2004,Passat B5,front
Volkswagen,27200,crossover,1,2,Diesel,yes,2015,Tiguan,front
Porsche,18900,crossover,141,4.5,Petrol,yes,2005,Cayenne,full
Tesla,60000,sedan,5,NA,Other,yes,2014,Model S,rear
BMW,16300,crossover,258,4.4,Petrol,yes,2005,X5,full
BMW,17500,sedan,102,2,Petrol,yes,2011,320,rear
Fiat,7500,van,168,1.3,Diesel,yes,2011,Doblo „ÛÁ.,front
BMW,16500,crossover,230,3,Gas,yes,2004,X5,full
Land Rover,19999,crossover,106,4.4,Gas,yes,2005,Range Rover Sport,full
Kia,9900,sedan,127,2.7,Gas,yes,2008,Magentis,front
Mercedes-Benz,29500,sedan,64,1.6,Petrol,yes,2013,CLA 200,front
BMW,15000,vagon,245,3,Gas,yes,2006,530,full
Mercedes-Benz,5850,van,240,2.2,Diesel,yes,2001,Vito „ÛÁ.,front
Tesla,139600,sedan,4,NA,Other,yes,2015,Model S,full
Mercedes-Benz,47600,van,0,2.2,Diesel,yes,2016,Vito Ô‡ÒÒ.,rear
Audi,13900,other,197,2,Diesel,yes,2006,A6,front
Volkswagen,18600,sedan,2,1.6,Petrol,yes,2015,Jetta,front
Mitsubishi,7300,sedan,121,1.6,Gas,yes,2008,Lancer,front
Hyundai,6800,sedan,140,1.5,Diesel,yes,2008,Accent,front
Mercedes-Benz,4700,sedan,260,2.7,Diesel,no,2002,E-Class,rear
Volkswagen,5400,vagon,250,1.6,Petrol,yes,2003,Golf IV,front
Mazda,10700,sedan,148,2,Petrol,yes,2008,6,front
BMW,19999,crossover,227,3,Diesel,yes,2006,X5,full
Volkswagen,7700,van,177,1.9,Diesel,yes,2008,T5 (Transporter) „ÛÁ,front
Skoda,7000,sedan,160,1.8,Gas,yes,2003,Octavia Tour,front
Porsche,23500,crossover,97,4.5,Petrol,yes,2004,Cayenne,full
Land Rover,0,crossover,46,4.4,Diesel,yes,2014,Range Rover,full
Land Rover,89000,crossover,80,5,Petrol,yes,2013,Range Rover,full
Land Rover,46800,crossover,51,2.2,Other,yes,2013,Range Rover Evoque,full
Renault,2350,vagon,245,1.9,Diesel,no,2003,Laguna,front
Toyota,10500,sedan,180,3.5,Petrol,yes,2007,Camry,
Porsche,44500,crossover,115,4.8,Petrol,yes,2010,Cayenne,full
Hyundai,11500,van,183,2.5,Diesel,yes,2008,H1 Ô‡ÒÒ.,rear
Toyota,30900,sedan,15,2.5,Petrol,yes,2015,Camry,
Opel,10000,van,142,2,Diesel,yes,2011,Vivaro „ÛÁ.,front
Kia,11900,sedan,67,2,Petrol,yes,2011,Cerato,front
Subaru,14750,crossover,86,3.6,Petrol,yes,2009,Tribeca,full
Bentley,499999,crossover,0,6,Petrol,yes,2016,Bentayga,full
Suzuki,9600,crossover,128,2,Petrol,yes,2006,Grand Vitara,full
Toyota,30950,other,45,4.6,Petrol,yes,2013,Tundra,full
VAZ,5999,crossover,73,1.7,Petrol,yes,2007,2121,full
Lexus,13800,crossover,150,3.3,Petrol,yes,2005,RX 330,full
Mercedes-Benz,19200,sedan,173,5,Petrol,yes,2007,S 500,rear
Volkswagen,15800,van,194,2,Diesel,yes,2012,T5 (Transporter) „ÛÁ,front
Audi,30650,vagon,35,2,Petrol,yes,2013,A4 Allroad,full
Toyota,25000,crossover,80,4,Gas,yes,2008,FJ Cruiser,full
Volkswagen,28500,sedan,50,2,Petrol,yes,2013,Passat B7,front
Opel,10800,other,206,2,Diesel,yes,2008,Vivaro Ô‡ÒÒ.,front
Mitsubishi,21500,crossover,47,2.4,Petrol,yes,2012,Outlander XL,full
Volkswagen,12000,other,209,NA,Diesel,yes,2006,T5 (Transporter) „ÛÁ,front
Renault,17500,crossover,20,1.5,Diesel,yes,2016,Duster,full
Hyundai,7500,sedan,100,1.4,Petrol,yes,2007,Accent,front
Mitsubishi,17500,crossover,38,1.8,Petrol,yes,2012,ASX,front
Honda,15500,crossover,96,2.4,Petrol,yes,2009,CR-V,full
Ford,29900,crossover,68,2,Diesel,yes,2015,Kuga,full
Mercedes-Benz,0,van,0,2.2,Diesel,yes,2016,V 250,full
Skoda,0,vagon,95,1.6,Diesel,yes,2012,Octavia A5,front
Opel,9900,sedan,109,2.2,Gas,yes,2009,Vectra C,front
Infiniti,40900,crossover,64,3,Diesel,yes,2014,FX 30,full
Hyundai,11200,crossover,90,2,Gas,yes,2008,Tucson,full
Lexus,25999,crossover,207,4.7,Gas,yes,2007,LX 470,full
Volkswagen,28713.75,hatch,0,2,Diesel,yes,2015,Golf VII,front
Volkswagen,13000,crossover,235,3.2,Gas,yes,2005,Touareg,full
Audi,17500,sedan,94,1.8,Petrol,yes,2008,A4,front
Nissan,8100,sedan,88,1.6,Petrol,yes,2012,Almera,front
Renault,7300,van,186,1.5,Diesel,yes,2010,Kangoo Ô‡ÒÒ.,front
Nissan,6200,sedan,170,1.8,Gas,yes,2005,Almera,front
Volkswagen,11350,van,190,75,Diesel,yes,2011,T5 (Transporter) „ÛÁ,front
Hyundai,7500,sedan,104,1.6,Petrol,yes,2010,Elantra,front
BMW,28500,crossover,160,4.8,Gas,yes,2008,X5,full
Opel,2100,vagon,240,2.2,Gas,no,2001,Vectra B,front
Renault,12179,vagon,95,1.5,Diesel,yes,2012,Megane,front
Mercedes-Benz,35500,sedan,160,6.5,Petrol,yes,2008,S 65 AMG,rear
Renault,12350,van,159,2,Diesel,yes,2010,Trafic Ô‡ÒÒ.,front
Lexus,35000,crossover,33,3.5,Petrol,yes,2012,RX 350,full
Renault,6000,van,162,1.4,Petrol,yes,2007,Kangoo Ô‡ÒÒ.,front
Mercedes-Benz,19600,vagon,127,1.8,Diesel,yes,2013,B 180,front
Lexus,47000,crossover,82,5.7,Petrol,yes,2009,LX 570,full
Renault,8300,van,177,1.5,Diesel,yes,2007,Grand Scenic,front
Volkswagen,14500,van,168,2,Diesel,yes,2012,T5 (Transporter) „ÛÁ,front
Volkswagen,7200,van,270,1.9,Diesel,yes,2008,T5 (Transporter) „ÛÁ,front
Renault,9100,vagon,176,1.5,Diesel,yes,2011,Scenic,front
Volkswagen,7900,van,229,1.9,Diesel,yes,2001,T4 (Transporter) Ô‡ÒÒ.,front
Renault,7000,vagon,231,1.6,Petrol,yes,2008,Scenic,front
Mitsubishi,6000,hatch,118,1.3,Petrol,yes,2006,Colt,front
Opel,9700,other,175,1.3,Diesel,yes,2013,Astra J,front
Nissan,7600,hatch,280,1.6,Petrol,yes,2007,Note,front
Volkswagen,35800,crossover,92,3,Diesel,yes,2011,Touareg,full
